Row Labels,Sum of GDP (billion US$ real 1990),Sum of Wine produced (ML),Sum of Per capita wine expenditure (US$ 2015)
AME,1898.337042,1297.607,145.552173
Algeria,158.756184,52,43.94809458
Morocco,161.8063508,37,13.18859682
Other AME,,35,2.209521378
South Africa,305.5519791,1107.4,37.15827027
Tunisia,103.0258805,21.5,31.68381691
Turkey,1169.196648,44.707,17.36387305
ANZ,777.6355994,1518.845333,633.29242
Australia,682.1627023,1229.178667,296.4089797
New Zealand,95.47289704,289.6666667,336.8834403
APA,27762.80697,2111.293424,430.1038654
China,15104.21122,1025.178825,28.9570589
Hong Kong,252.645131,,71.56373873
India,5711.512635,21.20583098,0.252190894
Japan,2890.94758,16.33066667,142.9118944
Korea,1220.887765,,49.80252327
Malaysia,376.8729519,,10.55751128
Other APA,,1048.578102,1.431629301
Philippines,383.7036766,,2.873141657
Singapore,194.3156754,,87.76861141
Taiwan,662.814,,23.17376592
Thailand,964.8963346,,10.8117997
ECA,1953.029444,2241.284667,734.8009635
Bulgaria,67.47145246,114.8333333,82.02133977
Croatia,40.47064026,86.9,298.3691172
Georgia,30.37617491,116.2,110.9771634
Hungary,87.42269934,279.0333333,122.3898213
Moldova,20.14196649,163.2833333,
Other ECA,,500.3333333,16.65175748
Romania,99.57433827,365.0666667,36.51736458
Russia,1354.316244,536.6666667,52.54635202
Ukraine,253.2559277,78.968,15.32804773
LAC,3470.470935,2899.014,349.5579922
Argentina,473.592868,1264.566667,92.7097822
Brazil,1537.584417,261.0666667,21.97846167
Chile,296.0504215,1152.520667,64.52606692
Mexico,1101.015208,39.36,14.46670265
Other LAC,,109,16.60371301
Uruguay,62.22802052,72.5,139.2732658
USC,15262.72712,3138.687667,402.9313194
Canada,982.8125694,54.88766667,272.3383847
USA,14279.91455,3083.8,130.5929347
WEM,6043.227541,1519.351,4350.506151
Austria,215.35836,207.2896667,520.5365205
Bel-Lux,289.7548097,13.46466667,305.2985146
Denmark,138.9954691,,581.1447771
Finland,128.0537644,,218.1853771
Germany,1802.702058,901.1666667,194.4661974
Greece,131.7423624,288.1333333,347.4384307
Ireland,118.7860842,,263.0535953
Netherlands,419.7570704,,176.8173539
Other WEM,,14,359.152798
Sweden,264.9890399,,362.0766499
Switzerland,296.6649354,91.12166667,658.628039
United Kingdom,2236.423587,4.175,363.7078978
WEX,3473.450345,14114.6,1182.760677
France,1485.799763,4683.8,491.8778334
Italy,1101.449173,4905.166667,268.2437231
Portugal,139.6865144,642.3,305.2528689
Spain,746.5148947,3883.333333,117.3862514
Grand Total,60641.685,28840.68309,8229.505561
